"LAT","LON","YEAR","MO","DY","WS50M","QV2M","ALLSKY_SFC_UV_INDEX","Date","predicted_power_usage","date"
-33.75,20.25,2020,1,3,4.2,9.05,3.41,2020-01-03,2.17119164744703,2020-01-03
-33.75,20.75,2020,1,3,4.2,9.62,3.41,2020-01-03,2.29940508122675,2020-01-03
-33.25,18.75,2020,1,3,5.53,9.09,3.35,2020-01-03,2.13608389459984,2020-01-03
-33.25,19.25,2020,1,3,4.73,8.07,3.46,2020-01-03,1.93317876455592,2020-01-03
-33.25,19.75,2020,1,3,4.74,7.96,3.46,2020-01-03,1.90810420324909,2020-01-03
-33.25,20.25,2020,1,3,4.93,8.26,3.41,2020-01-03,1.96928421689904,2020-01-03
-33.25,20.75,2020,1,3,4.92,8.75,3.41,2020-01-03,2.07983440072569,2020-01-03
-32.75,18.75,2020,1,3,5.59,8.61,3.43,2020-01-03,2.02612497953135,2020-01-03
-32.75,19.25,2020,1,3,5.34,7.73,3.55,2020-01-03,1.83647188128936,2020-01-03
-32.75,19.75,2020,1,3,5.28,7.62,3.55,2020-01-03,1.8137186456034,2020-01-03
-32.75,20.25,2020,1,3,5.49,7.74,3.58,2020-01-03,1.83374697058913,2020-01-03
-32.75,20.75,2020,1,3,5.67,8.01,3.58,2020-01-03,1.88851052672283,2020-01-03
-32.25,18.75,2020,1,3,5.45,8.48,3.43,2020-01-03,2.00152597043738,2020-01-03
-32.25,19.25,2020,1,3,5.22,7.68,3.55,2020-01-03,1.82920450420261,2020-01-03
-32.25,19.75,2020,1,3,5.19,7.4,3.55,2020-01-03,1.76721732039396,2020-01-03
-32.25,20.25,2020,1,3,5.52,7.34,3.58,2020-01-03,1.74277777725707,2020-01-03
-32.25,20.75,2020,1,3,6,7.48,3.58,2020-01-03,1.75835113467987,2020-01-03
-34.25,18.75,2020,1,4,4.43,10.53,3.15,2020-01-04,2.49646949082252,2020-01-04
-34.25,19.25,2020,1,4,4.27,9.77,3.16,2020-01-04,2.33082413291633,2020-01-04
-34.25,19.75,2020,1,4,4.09,9.44,3.16,2020-01-04,2.26256442585844,2020-01-04
-34.25,20.25,2020,1,4,3.95,9.85,3.13,2020-01-04,2.3594307750821,2020-01-04
-34.25,20.75,2020,1,4,3.87,10.82,3.13,2020-01-04,2.58027149192307,2020-01-04
-33.75,18.75,2020,1,4,4.3,9.61,3.23,2020-01-04,2.29383954328099,2020-01-04
-33.75,19.25,2020,1,4,4.24,8.49,3.34,2020-01-04,2.04390110037132,2020-01-04
-33.75,19.75,2020,1,4,4.3,8.08,3.34,2020-01-04,1.94968769471439,2020-01-04
-33.75,20.25,2020,1,4,4.31,8.44,3.38,2020-01-04,2.03033298231363,2020-01-04
-33.75,20.75,2020,1,4,4.22,9.31,3.38,2020-01-04,2.22901173222681,2020-01-04
-33.25,18.75,2020,1,4,4.41,9,3.23,2020-01-04,2.15298087814759,2020-01-04
-33.25,19.25,2020,1,4,4.7,7.95,3.34,2020-01-04,1.90718131654508,2020-01-04
-33.25,19.75,2020,1,4,4.87,7.56,3.34,2020-01-04,1.81381883045864,2020-01-04
-33.25,20.25,2020,1,4,5.02,7.71,3.38,2020-01-04,1.84258493858149,2020-01-04
-33.25,20.75,2020,1,4,5.02,8.25,3.38,2020-01-04,1.96405029689912,2020-01-04
-32.75,18.75,2020,1,4,4.68,8.51,3.33,2020-01-04,2.03380862772911,2020-01-04
-32.75,19.25,2020,1,4,5.24,7.73,3.45,2020-01-04,1.83978806074775,2020-01-04
-32.75,19.75,2020,1,4,5.28,7.35,3.45,2020-01-04,1.75298596644458,2020-01-04
-32.75,20.25,2020,1,4,5.54,7.21,3.53,2020-01-04,1.71287288102967,2020-01-04
-32.75,20.75,2020,1,4,5.86,7.34,3.53,2020-01-04,1.73150276709853,2020-01-04
-32.25,18.75,2020,1,4,4.71,8.42,3.33,2020-01-04,2.01256954750532,2020-01-04
-32.25,19.25,2020,1,4,5.03,7.42,3.45,2020-01-04,1.77702192450212,2020-01-04
-32.25,19.75,2020,1,4,5.19,6.88,3.45,2020-01-04,1.65025067905106,2020-01-04
-32.25,20.25,2020,1,4,5.7,6.62,3.53,2020-01-04,1.57485484314179,2020-01-04
-32.25,20.75,2020,1,4,6.33,6.66,3.53,2020-01-04,1.56296034650336,2020-01-04
-34.25,18.75,2020,1,5,5.07,10.93,2.18,2020-01-05,2.56522028178333,2020-01-05
-34.25,19.25,2020,1,5,5.55,10.41,2.38,2020-01-05,2.43233597904013,2020-01-05
-34.25,19.75,2020,1,5,5.63,9.86,2.38,2020-01-05,2.30596831866843,2020-01-05
-34.25,20.25,2020,1,5,5.7,9.75,2.45,2020-01-05,2.27890404968655,2020-01-05
-34.25,20.75,2020,1,5,5.86,10.12,2.45,2020-01-05,2.35682442658557,2020-01-05
-33.75,18.75,2020,1,5,4.19,10.53,2.27,2020-01-05,2.50442832152266,2020-01-05
-33.75,19.25,2020,1,5,4.5,9.5,2.3,2020-01-05,2.2624642410032,2020-01-05
-33.75,19.75,2020,1,5,4.4,8.59,2.3,2020-01-05,2.06108879811153,2020-01-05
-33.75,20.25,2020,1,5,4.45,8.23,2.45,2020-01-05,1.97845380283724,2020-01-05
-33.75,20.75,2020,1,5,4.74,8.48,2.45,2020-01-05,2.02507084459199,2020-01-05
-33.25,18.75,2020,1,5,3.9,10.25,2.27,2020-01-05,2.45106320430583,2020-01-05
-33.25,19.25,2020,1,5,4.45,8.91,2.3,2020-01-05,2.13141017997796,2020-01-05
-33.25,19.75,2020,1,5,4.36,7.82,2.3,2020-01-05,1.8892146663679,2020-01-05
-33.25,20.25,2020,1,5,4.36,7.37,2.45,2020-01-05,1.78799353443654,2020-01-05
-33.25,20.75,2020,1,5,4.6,7.59,2.45,2020-01-05,1.82952059045839,2020-01-05
