"DateTime","Actual","Predicted"
2024-01-01,11.82,6.26844310760498
2024-01-01,10.85,6.22962617874146
2024-01-01,10.32,5.9567608833313
2024-01-01,10.26,6.31388521194458
2024-01-01,10.48,5.87279224395752
2024-01-01,8.26,5.70304203033447
2024-01-01,7.72,6.16638946533203
2024-01-01,7.59,6.3104419708252
2024-01-01,7.48,6.27726411819458
2024-01-01,7.21,6.25557565689087
2024-01-01,5.86,5.75926494598389
2024-01-01,6.04,5.65850305557251
2024-01-01,6.73,5.65951299667358
2024-01-01,7.12,5.84814548492432
2024-01-01,6.77,6.16638946533203
2024-01-01,5.17,5.72867822647095
2024-01-01,5.34,5.75926494598389
2024-01-01,6.09,5.7139458656311
2024-01-01,6.98,5.65925407409668
2024-01-01,7.36,5.65589332580566
2024-01-01,5.15,5.90942764282227
2024-01-01,5.08,5.92356872558594
2024-01-01,5.24,5.90942764282227
2024-01-01,5.87,5.75368690490723
2024-01-01,6.61,5.73532009124756
2024-01-02,7.8,5.672447681427
2024-01-02,6.96,6.00103950500488
2024-01-02,6.73,6.58355379104614
2024-01-02,6.96,6.53124380111694
2024-01-02,7.34,6.54752635955811
2024-01-02,5.25,5.75326347351074
2024-01-02,4.72,5.75326347351074
2024-01-02,4.83,5.60921096801758
2024-01-02,4.97,5.60921096801758
2024-01-02,4.9,5.75326347351074
2024-01-02,4.93,5.58800363540649
2024-01-02,4.6,5.46004056930542
2024-01-02,5.05,5.39321327209473
2024-01-02,5.47,5.32820653915405
2024-01-02,5.46,5.32820653915405
2024-01-02,5,5.43674230575562
2024-01-02,4.92,5.39321327209473
2024-01-02,5.29,5.38469409942627
2024-01-02,5.88,5.38124895095825
2024-01-02,6.25,5.38124895095825
2024-01-02,4.89,5.32820653915405
2024-01-02,5.37,5.43529891967773
2024-01-02,5.73,5.43594074249268
2024-01-02,6.14,5.37534856796265
2024-01-02,6.43,5.37534856796265
2024-01-03,10.81,6.32517957687378
2024-01-03,9.19,6.21824169158936
2024-01-03,8.39,6.08742237091064
2024-01-03,8.08,7.09430694580078
2024-01-03,8,6.39111995697021
2024-01-03,7.18,5.59392404556274
2024-01-03,6.23,5.60679149627686
2024-01-03,6.13,5.57595491409302
2024-01-03,6.12,5.94307136535645
2024-01-03,5.9,6.25594902038574
2024-01-03,4.64,5.31683444976807
